year,week,temp.avg,temp.min,temp.max,winddir,windspd,pressure
2018,41,19.2,16.6,22.8,207.1,9.2,1019.5
2018,42,19.1,16.1,23.5,163.1,5.0,1017.5
2018,43,17.8,14.3,21.2,142.6,6.1,1016.1
2018,44,19.4,16.5,24.1,46.7,4.5,1022.0
2018,45,16.1,12.6,20.7,108.4,5.4,1019.5
2018,46,13.7,11.5,16.1,15.7,8.7,1021.6
2018,47,15.5,12.4,18.4,177.3,6.2,1017.4
2018,48,12.9,10.1,15.6,93.3,9.4,1014.5
2018,49,10.9,7.5,14.7,243.0,6.7,1016.4
2018,50,11.6,8.8,14.4,133.3,6.1,1014.4
2018,51,10.6,8.0,13.1,237.0,5.3,1021.4
2018,52,9.0,6.0,12.2,235.6,6.1,1021.1
2019,1,6.3,3.8,8.6,160.0,9.8,1013.5
2019,2,7.8,4.7,10.7,232.4,8.9,1012.5
2019,3,9.2,5.6,12.9,251.1,6.4,1014.3
2019,4,11.6,8.6,14.7,137.7,7.5,1004.8
2019,5,12.7,9.6,16.1,204.4,7.2,1011.0
2019,6,10.8,8.4,13.7,132.7,8.1,1016.9
2019,7,8.8,6.5,12.0,291.7,13.0,1019.3
2019,8,9.7,6.0,14.4,187.0,6.8,1021.1
2019,9,10.5,7.2,13.8,192.0,9.9,1016.1
2019,10,14.1,10.1,19.1,244.7,3.7,1020.5
2019,11,12.6,9.1,17.0,253.7,7.1,1012.5
2019,12,14.3,10.6,18.0,69.7,10.6,1020.1
2019,13,13.0,9.7,16.5,121.0,12.2,1016.2
2019,14,14.7,10.7,18.3,67.6,9.3,1012.6
2019,15,14.9,11.8,19.1,251.7,7.0,1009.0
2019,16,13.5,9.6,17.9,57.1,6.6,1019.6
2019,17,17.3,12.7,22.0,39.6,3.1,1019.5
2019,18,18.0,13.5,22.1,201.6,6.2,1011.3
2019,19,17.9,14.0,22.4,303.5,7.2,1012.8
2019,20,19.2,14.9,24.3,209.3,4.5,1010.6
2019,21,20.7,16.4,25.2,245.4,4.9,1013.2
2019,22,22.5,17.8,27.9,223.1,4.9,1014.2
2019,23,23.8,18.7,29.4,195.6,5.3,1015.1
2019,24,27.1,22.5,32.2,151.3,5.9,1012.3
2019,25,26.5,21.6,32.4,201.3,4.1,1012.4
2019,26,28.4,24.8,31.9,63.9,12.4,1012.3
2019,27,28.5,23.0,34.0,99.7,7.6,1012.1
2019,28,27.4,23.2,32.8,132.4,6.4,1008.7
2019,29,26.3,21.8,30.4,123.6,9.1,1010.9
2019,30,28.8,24.4,33.0,51.7,9.1,1011.3
2019,31,29.7,25.0,34.4,218.9,6.7,1007.1
2019,32,29.4,24.9,33.9,58.9,10.2,1011.9
