alert__year,alert__week,alert__count
2018,41,11
2018,42,16
2018,43,9
2018,44,5
2018,45,8
2018,46,1
2018,52,6
2019,7,1
2019,8,8
2019,9,1
2019,12,5
2019,14,1
2019,24,1
2019,27,7
2019,28,1
2019,29,1
2019,30,2
2019,31,2
2019,32,7
2019,33,35
2019,34,5
2019,35,5
2019,36,6
2019,37,30
2019,39,3
2019,40,9
2019,41,2
2019,42,7
2019,43,19
2019,44,6
2020,5,1
2020,6,1
2020,7,2
2020,8,1
2020,12,2
2020,15,3
2020,19,1
2020,21,1
2020,24,3
2020,27,1
2020,28,7
2020,29,4
2020,30,34
2020,31,3
2020,32,5
2020,33,5
2020,34,49
2020,35,3
2020,36,10
2020,37,15
2020,38,7
2020,39,1
2020,40,6
2020,41,3
2020,42,3
2020,43,10
2020,44,3
2020,46,1
2020,47,3
2020,48,2
2020,49,2
2021,6,1
2021,8,1
2021,9,2
2021,10,3
2021,11,2
2021,13,6
2021,14,1
2021,16,1
2021,17,2
2021,18,1
2021,20,46
2021,22,1
2021,24,1
2021,25,3
2021,26,23
2021,27,7
2021,28,7
2021,29,11
2021,30,11
2021,31,794
2021,32,89
2021,33,77
2021,34,6
2021,35,5
2021,38,7
2021,40,3
2021,42,3
2021,44,4
2021,45,1
2021,49,1
2022,12,14
2022,13,3
2022,20,1
2022,22,2
2022,25,5
2022,26,3
2022,27,18
2022,28,6
2022,29,66
2022,30,7
2022,35,1
2022,36,3
2022,37,3
2022,39,1
2022,40,3
